name,url,category,platform_type,discount_notes,discount_percent,active
BBC Ice Cream,https://www.bbcicecream.com,shopify_main,shopify,"",0,true
BLKMKT,https://www.blkmkt.us,shopify_main,shopify,"",0,true
Blends,https://www.blendsus.com,shopify_main,shopify,"",0,true
Bows and Arrows,https://www.bowsandarrowsberkeley.com,shopify_main,shopify,"",0,true
Capsule Toronto,https://www.capsuletoronto.com,shopify_canada,shopify,"",0,true
Commonwealth,https://commonwealth-ftgg.com,shopify_main,shopify,"",0,true
Courtside Sneakers,https://www.courtsidesneakers.com,shopify_main,shopify,"",0,true
Deadstock,https://www.deadstock.ca,shopify_canada,shopify,"",0,true
Decade Store,https://www.decadestore.co.uk,shopify_europe,shopify,"",0,true
Device One,https://deviceone.gr,shopify_europe,shopify,"",0,true
Enter Nostalgia,https://enternostalgia.com,shopify_main,shopify,"",0,true
Fear of God,https://fearofgod.com,shopify_main,shopify,"",0,true
Fice Gallery,https://www.ficegallery.com,shopify_main,shopify,"",0,true
Focus Pocus,https://focuspocus.co.uk,shopify_europe,shopify,"",0,true
Hanon Shop,https://www.hanon-shop.com,shopify_europe,shopify,"",0,true
High and Lows,https://www.highsandlows.net.au,shopify_main,shopify,"",0,true
Juice Store,https://juicestore.com,shopify_main,shopify,"",0,true
Likelihood,https://likelihood.us,shopify_main,shopify,"",0,true
Myfavoritethings,https://myfavoritethings.fi,shopify_europe,shopify,"",0,true
NRML,https://nrml.ca,shopify_canada,shopify,"",0,true
Noir Fonce,https://www.noirfonce.eu,shopify_europe,shopify,"",0,true
OAK,https://offthehook.ca,shopify_canada,shopify,"",0,true
Oqium,https://oqium.com,shopify_europe,shopify,"",0,true
Patta,https://www.patta.nl,shopify_europe,shopify,"",0,true
Renarts,https://renarts.com,shopify_main,shopify,"Free Shipping Over $60",0,false
RSVP Gallery,https://rsvpgallery.com,shopify_main,shopify,"",0,true
Slam City Skates,https://www.slamcity.com,shopify_europe,shopify,"",0,true
Sneaker Baas,https://www.sneakerbaas.com,shopify_europe,shopify,"",0,false
Sneaker Junkies,https://sneakerjunkiesusa.com,shopify_main,shopify,"Sign Up For 15% Off!",15,true
Space 23,https://www.space23.it,shopify_europe,shopify,"",0,true
Staple Pigeon,https://www.staplepigeon.com,shopify_main,shopify,"",0,true
Stone Island,https://www.stoneisland.co.uk,shopify_europe,shopify,"",0,true
Stussy,https://www.stussy.com,shopify_main,shopify,"",0,true
The Closet Inc,https://www.theclosetinc.com,shopify_main,shopify,"",0,true
Trophy Room,https://www.trophyroomstore.com,shopify_main,shopify,"",0,true
Undefeated,https://undefeated.com,shopify_main,shopify,"",0,true
Union LA,https://store.unionlosangeles.com,shopify_main,shopify,"",0,true
Welcome Leeds,https://welcomeleeds.com,shopify_europe,shopify,"",0,true
